D	dat	Full	AM	PM	w	mo
2017-05-02	2017-05-02	2250	2475	-224.999999999999	2	5
2017-05-03	2017-05-03	-1834.99999999996	-1730.99999999997	-103.999999999986	3	5
2017-05-04	2017-05-04	-14605.0000000001	-2305.00000000001	-12300	4	5
2017-05-05	2017-05-05	-41885	-11032	-30853	5	5
2017-05-08	2017-05-08	-47076	-15062	-32014	1	5
2017-05-09	2017-05-09	11158	6151.99999999998	5006.00000000005	2	5
2017-05-10	2017-05-10	305.999999999995	4959	-4653.00000000001	3	5
2017-05-15	2017-05-15	21352	15725	5627.00000000003	1	5
2017-05-16	2017-05-16	34609	21908	12701	2	5
2017-05-17	2017-05-17	-12343	-10708	-1634.99999999999	3	5
2017-05-18	2017-05-18	-9631	-3225.00000000004	-6405.99999999996	4	5
2017-05-19	2017-05-19	21833.9999999999	15199	6634.99999999994	5	5
2017-05-22	2017-05-22	17629	12866	4763	1	5
2017-05-23	2017-05-23	38078	29497	8581.00000000003	2	5
2017-05-24	2017-05-24	-716	-7116.00000000001	6400.00000000001	3	5
2017-05-25	2017-05-25	1801.00000000001	-6362.00000000004	8163.00000000005	4	5
2017-05-31	2017-05-31	-3057.99999999999	-17629	14571	3	5
2017-06-01	2017-06-01	19565.0000000001	19729	-163.999999999956	4	6
2017-06-02	2017-06-02	3502.99999999996	-1431.00000000005	4934.00000000001	5	6
2017-06-05	2017-06-05	-3615.00000000002	-12092.0000000001	8477.00000000004	1	6
2017-06-06	2017-06-06	24418	8667.00000000002	15751	2	6
2017-06-07	2017-06-07	21613	20292	1320.99999999999	3	6
2017-06-08	2017-06-08	34661	15036	19625	4	6
2017-06-09	2017-06-09	7192.00000000001	10327	-3134.99999999998	5	6
2017-06-12	2017-06-12	14617	2400.99999999997	12216.0000000001	1	6
2017-06-13	2017-06-13	10485.9999999999	283.999999999998	10201.9999999999	2	6
2017-06-14	2017-06-14	-39009.9999999999	-21255	-17755	3	6
2017-06-15	2017-06-15	-5159.00000000004	-17107.0000000001	11948	4	6
2017-06-19	2017-06-19	17703	17928.0000000001	-225.000000000083	1	6
2017-06-20	2017-06-20	-8599.00000000001	508.000000000028	-9107.00000000004	2	6
2017-06-21	2017-06-21	46332	23389.0000000001	22942.9999999999	3	6
2017-06-22	2017-06-22	1016	14322	-13306	4	6
2017-06-23	2017-06-23	18125	-5941.99999999997	24067	5	6
2017-06-28	2017-06-28	-22907	-12725	-10182	3	6
2017-06-30	2017-06-30	3897.99999999997	-4468.99999999998	8366.99999999995	5	6
2017-07-04	2017-07-04	478.000000000047	-5720.00000000002	6198.00000000006	2	7
2017-07-05	2017-07-05	33843.9999999999	12604	21239.9999999999	3	7
2017-07-06	2017-07-06	3225.60000000006	-6329.64999999997	9555.25000000002	4	7
2017-07-07	2017-07-07	-16025.15	-12082.45	-3942.69999999997	5	7
2017-07-10	2017-07-10	-5906.99999999997	-3891.99999999999	-2014.99999999997	1	7
2017-07-11	2017-07-11	4918.99999999998	2851.99999999998	2067	2	7
2017-07-12	2017-07-12	9023.99999999997	3473	5550.99999999998	3	7
2017-07-13	2017-07-13	-10010	-4662.99999999999	-5347	4	7
2017-07-14	2017-07-14	16309	7565.99999999996	8743	5	7
2017-07-17	2017-07-17	-6152.99999999997	-3264.99999999999	-2887.99999999998	1	7
2017-07-18	2017-07-18	-10523.8	-21137.45	10613.65	2	7
2017-07-19	2017-07-19	8713.65000000001	6663.90000000002	2049.74999999999	3	7
2017-07-20	2017-07-20	6922.55	1173.80000000001	5748.75	4	7
2017-07-21	2017-07-21	-1847.15000000002	1235.89999999998	-3083.05	5	7
2017-07-24	2017-07-24	3028.05000000002	2066.85000000003	961.199999999986	1	7
2017-07-25	2017-07-25	-6775.04999999998	-4566.79999999998	-2208.25	2	7
2017-07-26	2017-07-26	-9479.40000000003	-16784.7	7305.30000000002	3	7
2017-07-27	2017-07-27	2672.8	-5780.45000000007	8453.25000000007	4	7
2017-07-28	2017-07-28	10116.95	7579.35000000003	2537.59999999997	5	7
2017-07-31	2017-07-31	-1467.94999999999	594.100000000005	-2062.04999999999	1	7
2017-08-01	2017-08-01	14305.6	10842.3	3463.3	2	8
2017-08-02	2017-08-02	-9097.44999999999	-6075.89999999996	-3021.55000000003	3	8
2017-08-03	2017-08-03	-35106.55	-23183.5	-11923.05	4	8
2017-08-04	2017-08-04	-20901.9500000001	-15708.65	-5193.30000000007	5	8
2017-08-07	2017-08-07	1217.79999999999	-1229.14999999998	2446.94999999997	1	8
2017-08-08	2017-08-08	-212.349999999942	-7718.05	7505.70000000006	2	8
2017-08-10	2017-08-10	-3071.95000000017	-14184.4	11112.4499999998	4	8
2017-08-11	2017-08-11	-23973.2499999999	-20235.1999999998	-3738.05000000008	5	8
